easting,northing,yaw,state_x,state_y,state_yaw
324949.774453,4557207.84861,0.00718413347377,324949.774453,4557207.84861,-4.93601884212
324949.774453,4557207.84861,0.00718016942091,324949.774464,4557207.84866,1.34718846201
324949.774453,4557207.84861,0.00719232997621,324949.774475,4557207.84871,1.34722646018
324949.774453,4557207.84861,0.00719235182245,324949.774486,4557207.84875,1.34725363169
324949.774453,4557207.84861,0.00718139593143,324949.774497,4557207.8488,1.34726958121
324949.774453,4557207.84861,0.00718147759476,324949.774508,4557207.84885,1.34729589542
324949.774453,4557207.84861,0.00720097744752,324949.774519,4557207.8489,1.34734165658
324949.774453,4557207.84861,0.00719684954783,324949.774529,4557207.84894,1.3473634826
324949.774453,4557207.84861,0.00720774198072,324949.77454,4557207.84899,1.3474013167
324949.774453,4557207.84861,0.00720286350653,324949.77455,4557207.84903,1.3474234848
324949.774453,4557207.84861,0.00719453332589,324949.77456,4557207.84908,1.3474417703
324949.774453,4557207.84861,0.00721048784544,324949.77457,4557207.84912,1.3474849302
324949.774453,4557207.84861,0.0072093284341,324949.774579,4557207.84916,1.34750996538
324949.774453,4557207.84861,0.007195646444,324949.774589,4557207.84921,1.34752305114
324949.774453,4557207.84861,0.00718561693772,324949.774598,4557207.84925,1.34753972763
324949.774453,4557207.84861,0.00717187357008,324949.774607,4557207.84929,1.34755357836
324949.774453,4557207.84861,0.00714904892715,324949.774616,4557207.84932,1.34755721053
324949.774453,4557207.84861,0.00712971500182,324949.774624,4557207.84936,1.34756449268
324949.774453,4557207.84861,0.00713759369343,324949.774632,4557207.8494,1.34759835214
324949.774453,4557207.84861,0.00715664621834,324949.77464,4557207.84943,1.34764343953
324949.774453,4557207.84861,0.00714594415986,324949.774648,4557207.84947,1.34765852349
324949.774453,4557207.84861,0.00716114030268,324949.774656,4557207.8495,1.34770048896
324949.774453,4557207.84861,0.00715506912763,324949.774663,4557207.84953,1.3477203243
324949.774453,4557207.84861,0.00715297344872,324949.77467,4557207.84956,1.34774429974
324949.774453,4557207.84861,0.00715148998477,324949.774679,4557207.8496,1.34776859934
324949.774453,4557207.84861,0.00732706044008,324949.774687,4557207.84964,1.34781281788
324949.774453,4557207.84861,0.00732478166884,324949.774695,4557207.84967,1.34783721823
324949.774453,4557207.84861,0.00731262319414,324949.774703,4557207.84971,1.34785083111
324949.774453,4557207.84861,0.00731854040519,324949.77471,4557207.84974,1.34788261753
324949.774453,4557207.84861,0.00732576787068,324949.774717,4557207.84977,1.347916897
324949.774453,4557207.84861,0.00733388531052,324949.774724,4557207.8498,1.34795127692
324949.774453,4557207.84861,0.00733459843432,324949.77473,4557207.84983,1.34797790709
324949.774453,4557207.84861,0.00733170380708,324949.774736,4557207.84986,1.34800148559
324949.774453,4557207.84861,0.00735799784151,324949.774742,4557207.84988,1.348053916
324949.774453,4557207.84861,0.00736503077141,324949.774747,4557207.84991,1.34808673116
324949.774453,4557207.84861,0.00736384431234,324949.774753,4557207.84993,1.34811287667
324949.774453,4557207.84861,0.00736223601271,324949.774758,4557207.84995,1.34813731952
324949.774453,4557207.84861,0.00736444612433,324949.774762,4557207.84997,1.34816666564
324949.774453,4557207.84861,0.00737016931993,324949.774767,4557207.84999,1.34819919065
324949.774453,4557207.84861,0.00737041118905,324949.774771,4557207.85001,1.34822498244
324949.774453,4557207.84861,0.00738301022966,324949.774775,4557207.85003,1.34826408337
324949.774453,4557207.84861,0.00737350919441,324949.774779,4557207.85005,1.34828062339
324949.774453,4557207.84861,0.00737888701131,324949.774783,4557207.85006,1.34831276455
324949.774453,4557207.84861,0.00737641630522,324949.774786,4557207.85008,1.3483366596
324949.774453,4557207.84861,0.00737261401859,324949.774789,4557207.85009,1.34835934539
324949.774453,4557207.84861,0.00735393079921,324949.774793,4557207.85011,1.3483672034
324949.774453,4557207.84861,0.0073459964517,324949.774796,4557207.85012,1.34838685998
324949.774453,4557207.84861,0.00735943969357,324949.774798,4557207.85013,1.34841834536
324949.774453,4557207.84861,0.00735594169389,324949.774801,4557207.85014,1.34844094192
324949.774453,4557207.84861,0.0073372101007,324949.774808,4557207.85017,1.34844850499
324949.774453,4557207.84861,0.00748296719581,324949.774814,4557207.8502,1.34849064586
324949.774453,4557207.84861,0.00751154208207,324949.77482,4557207.85023,1.34854537751
324949.774453,4557207.84861,0.0075097205215,324949.774825,4557207.85025,1.34857019441
324949.774453,4557207.84861,0.0075121100844,324949.774831,4557207.85028,1.34859835714
324949.774453,4557207.84861,0.00750348289888,324949.774836,4557207.8503,1.34861575063
324949.774453,4557207.84861,0.00750695905231,324949.77484,4557207.85032,1.3486454592
324949.774453,4557207.84861,0.0074959209778,324949.774845,4557207.85034,1.34866146835
324949.774453,4557207.84861,0.00752471432649,324949.774849,4557207.85036,1.34871701444
324949.774453,4557207.84861,0.00752242411198,324949.774853,4557207.85037,1.34874135654
324949.774453,4557207.84861,0.00752496815903,324949.774856,4557207.85039,1.34877040612
324949.774453,4557207.84861,0.00754762271335,324949.77486,4557207.85041,1.34881947666
324949.774453,4557207.84861,0.00755331730078,324949.774863,4557207.85042,1.34885204598
324949.774453,4557207.84861,0.00756499931932,324949.774866,4557207.85043,1.34889023433
324949.774453,4557207.84861,0.00756216138828,324949.774869,4557207.85045,1.34891464471
324949.774453,4557207.84861,0.0075849506611,324949.774872,4557207.85046,1.34896402834
324949.774453,4557207.84861,0.00757743815414,324949.774874,4557207.85047,1.3489825077
324949.774453,4557207.84861,0.00758563517672,324949.774877,4557207.85048,1.34901724938
