longitude,latitude,altitude,yaw,state_x,state_y,state_yaw
0.0339,2.25435e-10,0.013,0.0133493,0.0293095,0.0013948,1.58097
0.05085,5.37383e-11,0.022,0.0133835,0.0305638,0.00134182,1.58096
0.05085,5.37383e-11,0.022,0.0137515,0.0317449,0.00129195,1.58095
0.05085,5.37383e-11,0.022,0.0137541,0.0328573,0.00124497,1.58094
0.05085,5.37383e-11,0.022,0.0137726,0.0339048,0.00120072,1.58094
0.05085,5.37383e-11,0.022,0.0138014,0.0348914,0.00115904,1.58093
0.05085,5.37383e-11,0.022,0.0138233,0.0358204,0.0011198,1.58092
0.05085,5.37383e-11,0.022,0.0138422,0.0366954,0.00108284,1.58092
0.05085,5.37383e-11,0.022,0.0138496,0.0375193,0.00104806,1.58091
0.05085,5.37383e-11,0.022,0.0138912,0.0382953,0.00101528,1.58091
0.05085,5.37383e-11,0.022,0.0138974,0.0390261,0.000984415,1.5809
0.05085,5.37383e-11,0.022,0.0139045,0.0397144,0.000955343,1.5809
0.05085,5.37383e-11,0.022,0.0139375,0.0403625,0.000927965,1.58089
0.05085,5.37383e-11,0.022,0.0139511,0.0409729,0.000902181,1.58089
0.05085,5.37383e-11,0.022,0.0139924,0.0415478,0.000877927,1.58089
0.05085,5.37383e-11,0.022,0.0140167,0.0420892,0.000855058,1.58088
0.05085,5.37383e-11,0.022,0.014043,0.042599,0.00083352,1.58088
0.05085,5.37383e-11,0.022,0.0140663,0.0430792,0.000813237,1.58088
0.05085,5.37383e-11,0.022,0.0140943,0.0435314,0.000794135,1.58088
0.05085,5.37383e-11,0.022,0.0141373,0.0439572,0.000776145,1.58088
0.05085,5.37383e-11,0.022,0.0141517,0.0443583,0.000759232,1.58087
0.05085,5.37383e-11,0.022,0.0141674,0.044736,0.000743275,1.58087
0.05085,5.37383e-11,0.022,0.0141905,0.0450917,0.000728247,1.58087
0.05085,5.37383e-11,0.022,0.0142206,0.0454268,0.000714094,1.58087
0.05085,5.37383e-11,0.022,0.0142558,0.0457423,0.000700766,1.58087
0.05085,5.37383e-11,0.022,0.0142767,0.0460394,0.000688214,1.58087
0.059325,-0.0111045,0.037,0.0142892,0.0468124,5.80525e-05,1.58086
0.059325,-0.0111045,0.037,0.0149803,0.0475404,-0.000535415,1.58086
0.059325,-0.0111045,0.037,0.0150085,0.048226,-0.00109433,1.58086
0.059325,-0.0111045,0.037,0.015043,0.0488717,-0.00162069,1.58086
